,adm3_sec_code,departement,commune,section_communale,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male,IHSI_UNFPA_2019
159,23302,Sud-Est,Thiotte,2e Section Pot de Chambre,6 937,6 805,13 742
160,23401,Sud-Est,Anse-à-Pître,1re Section Boucan Guillaume,11 718,12 442,24 160
161,23402,Sud-Est,Anse-à-Pître,2e Section Bois d'Orme,9 356,9 082,18 437
162,31101,Nord,Cap-Haïtien,1re Section Bande du Nord,14 178,11 096,25 274
163,31102,Nord,Cap-Haïtien,2e Section Haut du Cap,87 282,75 923,163 205
164,31103,Nord,Cap-Haïtien,3e Section Petit Anse,58 188,51 544,109 732
165,31201,Nord,Quartier Morin,1re Section Basse Plaine,7 226,7 339,14 564
166,31202,Nord,Quartier Morin,2e Section Morne Pele,7 367,7 801,15 168
167,31301,Nord,Limonade,1re Section Basse Plaine,9 049,9 653,18 702
168,31302,Nord,Limonade,2e Section Bois de Lance,5 905,6 293,12 199
169,31303,Nord,Limonade,3e Section Roucou,14 549,14 480,29 029
170,32101,Nord,Acul du Nord,1re Section Camp-Louise,4 726,4 909,9 635
171,32102,Nord,Acul du Nord,2e Section Bas de l'Acul (Basse Plaine),12 135,12 154,24 289
172,32103,Nord,Acul du Nord,3e Section Mornet,6 105,5 835,11 940
173,32104,Nord,Acul du Nord,4e Section Grande Ravine,1 922,2 028,3 950
174,32105,Nord,Acul du Nord,5e Section Coupe à David,1 462,1 600,3 061
175,32106,Nord,Acul du Nord,6e Section Soufrière,3 762,4 120,7 882
176,32201,Nord,Plaine du Nord,1re Section Morne Rouge,7 951,7 773,15 723
177,32202,Nord,Plaine du Nord,2e Section Basse Plaine,8 642,8 339,16 981
178,32203,Nord,Plaine du Nord,3e Section Grand Boucan,5 557,5 119,10 675
179,32204,Nord,Plaine du Nord,4e Section Bassin Diamant,719,736,1 455
180,32301,Nord,Milot,1re Section Perches-de-Bonnet,5 220,5 296,10 515
181,32302,Nord,Milot,2e Section Bonnet à l'Evêque,7 414,7 193,14 607
182,32303,Nord,Milot,3e Section Genipailler,4 636,5 009,9 645
183,33101,Nord,Grande Riviere Du Nord,1re Section Grand Gilles,2 052,2 203,4 255
184,33102,Nord,Grande Riviere Du Nord,2e Section Solon,1 854,1 980,3 834
185,33103,Nord,Grande Riviere Du Nord,3e Section Caracol,1 607,1 779,3 386
186,33104,Nord,Grande Riviere Du Nord,4e Section Gambade,1 779,2 006,3 785
187,33105,Nord,Grande Riviere Du Nord,5e Section Jolitrou,3 585,4 034,7 619
188,33106,Nord,Grande Riviere Du Nord,6e Section Cormiers,11 821,10 250,22 071
189,33201,Nord,Bahon,1re Section Bois Pin,3 412,3 620,7 033
190,33202,Nord,Bahon,2e Section Bailly ou Bailla,7 314,7 361,14 675
191,33203,Nord,Bahon,3e Section Montagne Noire,1 758,1 803,3 561
192,34101,Nord,Saint-Raphaël,1re Section Bois Neuf,2 843,2 804,5 647
193,34102,Nord,Saint-Raphaël,2e Section Mathurin,1 870,2 132,4 003
194,34103,Nord,Saint-Raphaël,3e Section Bouyaha,3 856,4 144,8 000
195,34104,Nord,Saint-Raphaël,4e Section San-Yago,20 347,20 422,40 770
196,34201,Nord,Dondon,1re Section Brostage,3 095,3 237,6 333
197,34202,Nord,Dondon,2e Section Bassin Caïman,2 097,2 203,4 300
198,34203,Nord,Dondon,3e Section Matador,3 730,3 900,7 630
199,34204,Nord,Dondon,4e Section Laguille,7 969,7 986,15 955
200,34205,Nord,Dondon,5e Section Haut du Trou,1 546,1 842,3 389
201,34301,Nord,Ranquitte,1re Section Bac à Soude,6 602,6 980,13 582
202,34302,Nord,Ranquitte,2e Section Bois de Lance,4 850,5 258,10 108
203,34303,Nord,Ranquitte,3e Section Cracaraille,3 219,3 198,6 417
204,34401,Nord,Pignon,1re Section Savannette,15 807,15 594,31 401
205,34402,Nord,Pignon,2e Section la Belle Mère,7 618,7 998,15 616
206,34501,Nord,La Victoire,1re Section de la Victoire,5 767,5 688,11 455
207,35101,Nord,Borgne,1re Section Margot,6 592,6 408,13 000
208,35102,Nord,Borgne,2e Section Boucan Michel,6 797,7 136,13 932
209,35103,Nord,Borgne,3e Section Petit Bourgde Borgne,7 528,7 141,14 669
210,35104,Nord,Borgne,4e Section Trou d'Enfer,2 233,2 210,4 444
211,35105,Nord,Borgne,5e Section Champagne,829,890,1 719
212,35106,Nord,Borgne,6e Section Molas,3 321,3 799,7 120
213,35107,Nord,Borgne,7e Section Cote de Feret Fond Lagrange,9 203,8 640,17 843
214,35201,Nord,Port-Margot,1re Section de Grande Plaine,991,1 065,2 056
215,35202,Nord,Port-Margot,2e Section Bas Petit Borgne,9 977,10 283,20 260
216,35203,Nord,Port-Margot,3e Section de Corail,4 538,4 485,9 023
217,35204,Nord,Port-Margot,4e Section Haut Petit Borgne,1 588,1 608,3 196
218,35205,Nord,Port-Margot,5e Section Bas Quartier,5 327,5 299,10 626
219,35206,Nord,Port-Margot,6e Section Bras Gauche,4 543,4 501,9 044
220,36101,Nord,Limbé,1re Section Haut Limbe ou Acul Jeannot,2 443,2 433,4 876
221,36102,Nord,Limbé,2e Section Chabotte,1 811,1 945,3 756
222,36103,Nord,Limbé,3e Section Camp Coq,5 366,5 413,10 780
223,36104,Nord,Limbé,4e Section Soufrière,2 931,3 022,5 953
224,36105,Nord,Limbé,5e Section Ravine Desroches,32 807,32 060,64 867
225,36106,Nord,Limbé,6e Section Ilot-à-Corne,1 202,1 268,2 470
