id_Section,No_section,adm0code,adm0_en,adm0_fr,adm0_ht,adm1code,adm1_en,adm1_fr,adm1_ht,adm2code,adm2_en,adm2_fr,adm2_ht,adm3code,adm3_en,adm3_fr,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
131-09,9,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-09,9e Section des Crochus,9e Section des Crochus,4 303,2 296,2 007
131-10,10,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-10,10e Section des Orangers,10e Section des Orangers,9 146,4 718,4 427
132-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0132,Thomazeau,Thomazeau, ,HT0132-01,1re Section Grande Plaine,1re Section Grande Plaine,35 741,17 139,18 602
132-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0132,Thomazeau,Thomazeau, ,HT0132-02,2e Section Grande Plaine,2e Section Grande Plaine,6 729,3 348,3 381
132-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0132,Thomazeau,Thomazeau, ,HT0132-03,3e Section Trou d'Eau,3e Section Trou d'Eau,7 991,3 815,4 176
132-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0132,Thomazeau,Thomazeau, ,HT0132-04,4e Section des Crochus,4e Section des Crochus,15 386,7 889,7 497
133-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0133,Ganthier,Ganthier, ,HT0133-01,1re Section Galette Chambon,1re Section Galette Chambon,7 935,4 224,3 711
133-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0133,Ganthier,Ganthier, ,HT0133-02,2e Section Balan,2e Section Balan,7 727,4 054,3 673
133-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0133,Ganthier,Ganthier, ,HT0133-03,3e Section Fond Parisien,3e Section Fond Parisien,35 070,17 109,17 961
133-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0133,Ganthier,Ganthier, ,HT0133-04,5e Section Pays Pourri,5e Section Pays Pourri,5 546,2 931,2 616
133-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0133,Ganthier,Ganthier, ,HT0133-05,4e Section Mare Roseaux,4e Section Mare Roseaux,21 471,10 376,11 095
134-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0134,Cornillon / Grand Bois,Cornillon / Grand Bois, ,HT0134-01,1re Section Plaine Celeste,"1re Section Plaine Céleste
",15 721,7 685,8 036
